dni_alumno;nombre_alumno;fecha_nacimiento;genero;id_carrera
0601-1990-60014;Buck Whitta;11/27/1990;Female;ING-IE
3060-1991-33318;Garrot Fosdick;1/6/1991;Male;DD-PP
4389-2005-58420;Barbara-anne Austins;7/27/2005;Female;DD-PP
1679-2001-57399;Margie Nyssens;5/16/2001;Female;ING-IE
8485-1998-53790;Patricio Gullam;6/20/1994;Male;ING-AI
4601-1998-47029;Brennen Peppard;12/1/1998;Male;ING-MC
0939-1992-30341;Derby Burnel;6/3/1992;Male;ING-IS
9417-2000-33927;Janet Blowne;7/27/2000;Female;DD-PP
3963-2002-29205;Ram Sommerville;8/15/2002;Male;ING-IE
7748-1997-59390;Der Harse;9/21/1997;Male;ING-IS
0258-1999-23397;Elana Mattin;3/22/1999;Female;LIC-IA
9644-1996-46436;Skipton Myrie;2/16/1996;Male;ING-MC
1612-2001-34726;Filippa Stears;6/1/2001;Female;LIC-IA
8840-1992-78638;Bard Bartunek;6/20/1992;Male;ING-AI
7953-2002-40541;Caitrin Galbraith;12/7/2002;Female;ING-IE
5990-1996-68970;Cordell Blanshard;1/24/1996;Male;TEC-AE
0658-1997-47980;Larisa Tingly;12/12/1997;Female;DD-PP
1874-1991-70560;Logan Cull;11/24/1991;Male;TEC-AE
2656-2003-84881;Talbot Dumbarton;3/13/2003;Male;ING-IS
8847-1997-43462;Xylia Bowne;10/14/1997;Female;TEC-AE
6982-1997-66604;Cleo Rubinsky;6/29/1994;Female;DD-PP
1877-2004-39249;Clementine Blaszczyk;11/16/2004;Female;LIC-CI
6877-1999-84575;Delano Bulward;8/29/1999;Male;ING-IE
2392-1993-76147;Pasquale Henrionot;2/1/1993;Male;DD-PP
2095-2002-51518;Carlos Bafford;12/8/2002;Male;DD-PP
4931-1992-28824;Melly Alennikov;4/9/1992;Female;LIC-CI
9012-2000-14422;Webster Busch;6/30/2000;Male;ING-IS
7250-1992-50238;Pavlov Heinssen;10/15/1992;Male;LIC-CI
3122-1995-86654;Jamill Bladen;2/2/1995;Male;DD-PP
2470-2003-57924;Gayleen O'Murtagh;7/24/2003;Female;ING-MC
9780-1995-53373;Analiese Sackey;10/29/1995;Female;ING-IE
0650-1990-25655;Abey Lainge;2/13/1990;Male;LIC-IA
2189-1998-29921;Peg Kuschek;10/26/1998;Female;DD-PP
5547-1997-64928;Corabella Schwander;3/7/1997;Female;LIC-IA
8581-1994-35116;Maybelle Benmore;6/13/1994;Female;ING-IS
0656-1990-69754;Marta Dyton;11/28/1990;Female;LIC-AD
2323-2005-79147;Jordana Lisciandro;7/4/2005;Female;DD-PP
1350-1990-43364;Violante Wallbanks;8/27/1990;Female;LIC-AD
4513-2005-15937;Claudius Keyhoe;12/31/2005;Male;ING-IE
8789-2004-28939;Danna Paviour;5/17/2004;Female;LIC-MM
6237-1993-23398;Leon Moulden;1/1/1993;Male;DD-PP
7219-1992-14916;Brenn Fulham;5/29/1992;Female;LIC-MM
0093-1997-83839;Gertruda Strewther;5/31/1997;Female;ING-IS
7564-2000-78392;Violet Dupoy;4/28/2000;Female;LIC-AD
1622-2003-76390;Ganny Caveill;2/5/2003;Male;LIC-MM
0372-2004-69530;Ellsworth Nibley;1/26/2004;Male;ING-IE
8675-2005-35773;Bailey Rearden;3/29/2005;Male;DD-PP
2710-1996-45840;Rosanne Sterricks;4/7/1996;Female;ING-IS
9040-1996-91077;Courtnay Rawdall;11/30/1996;Female;DD-PP
0225-1991-05651;Kerry Boake;1/23/1991;Male;ING-IE
